# Loss = 545.3073921501312

# tsi	tv1m	tv2m	tvp	twm	twp	td	to	tr	xk	uc	uv	ucsi
97.168	68.978	1249.8	6.6515	50.478	858.66	0.13229	40.993	79.801	9.637	0.13581	0.028239	0.7339

# t0	TI	IA	v0	w0
-212.2	544.5	0.06374	0.4335	0.7957
-213.6	544.7	0.1162	0.4567	0.6849
-97.18	488.1	0.0835	0.5983	0.5724
-98.4	488.6	0.1336	0.536	0.8646
-149.8	439.6	0.08951	0.506	0.8683
-150.8	440.3	0.1653	0.4372	0.8768
-147.6	358.1	0.09671	0.3402	0.9233
-148.2	358.7	0.1919	0.3192	0.8586
-129.0	338.3	0.08699	0.2507	0.7793
-130.4	338.9	0.2045	0.2246	0.8753
-124.8	320.1	0.09513	0.1996	0.8333
-126.8	320.9	0.1454	0.1706	0.9506
-118.2	315.0	0.08447	0.2367	0.8596
-118.3	315.6	0.1706	0.1668	0.8916
209.3	290.1	0.1111	0.287	0.4781
-80.06	290.0	0.1294	0.2518	0.8889
-100.4	278.8	0.08053	0.4856	0.876
-99.45	278.8	0.1327	0.107	0.8132
-103.8	277.2	0.06576	0.5652	0.8411
-102.7	277.6	0.1331	0.01415	0.784
-115.2	267.2	0.07974	0.1222	0.7993
-115.4	267.0	0.09594	0.145	0.9607
-89.06	262.2	0.08949	0.5582	0.7888
-90.74	262.5	0.09357	0.7005	0.9755
-96.75	253.1	0.08134	0.5326	0.7983
-96.95	253.2	0.08945	0.8618	0.8325
-108.1	239.1	0.09682	0.1067	0.7245
-107.1	238.6	0.07083	0.8814	0.8317
-99.9	233.4	0.0678	0.1379	0.901
-99.17	233.4	0.08576	0.4632	0.8327
-96.15	225.1	0.05237	0.533	0.8274
-95.03	225.1	0.07963	0.8707	0.7581
-82.02	221.8	0.0639	0.882	0.709
-82.73	221.9	0.06973	0.5796	0.7939
-84.98	209.5	0.09886	0.704	0.6312
-84.39	209.5	0.1077	0.02915	0.7656
-80.97	205.4	0.1099	0.8072	0.545
-79.03	205.8	0.106	0.4398	0.7063
-83.61	193.6	0.1113	0.829	0.5619
-87.18	194.3	0.1224	0.6069	0.6641
-72.67	183.8	0.1284	0.5909	0.6371
-75.24	184.2	0.1195	0.6501	0.6689
-79.3	172.0	0.1286	0.58	0.6086
-80.96	172.4	0.1334	0.6912	0.8527
-56.57	161.4	0.1431	0.3833	0.5264
-53.79	161.1	0.1482	0.3877	0.7355
-69.17	159.3	0.1513	0.4918	0.6142
-68.07	159.7	0.1501	0.7982	0.7126
-73.12	144.6	0.1632	0.2322	0.5805
-71.33	144.5	0.1703	0.3842	0.5238
-51.8	138.6	0.173	0.1421	0.4995
-48.23	138.3	0.1768	0.2026	0.3901
-55.28	116.1	0.2057	0.3514	0.4041
-54.81	116.5	0.2035	0.1414	0.4109
-51.46	130.7	0.1826	0.2722	0.137
-50.16	130.7	0.1851	0.2889	0.3731
-52.48	124.0	0.1886	0.17	0.2746
-48.85	123.9	0.1925	0.1958	0.2607
63.27	187.6	0.1378	0.6132	0.853
62.76	187.7	0.1482	0.6231	0.8902
-60.91	118.3	0.1977	0.2301	0.03905
-63.08	117.8	0.2054	0.1804	0.437

# Loss (initial) = 49089.26668007027
# Loss (final) = 545.3073921501312
# Loss (resample) = 38493.82467271619
