# Loss = 1134.8269763114927

# tsi	tv1m	tv2m	tvp	twm	twp	td	to	tr	xk	uc	uv	ucsi
119.18	30.76	1240.7	7.0244	78.947	861.63	0.20406	32.033	84.296	10.021	0.13658	0.033347	0.63797

# t0	TI	IA	v0	w0
-214.9	544.9	0.08578	0.3557	0.5795
-217.4	545.2	0.1355	0.7104	0.772
-98.74	487.9	0.0867	0.8614	0.7174
-100.7	488.4	0.1378	0.7328	0.5382
-150.8	440.5	0.09068	0.3997	0.7868
-152.5	440.8	0.1549	0.111	0.5324
-148.4	358.4	0.09325	0.2414	0.8582
-149.9	358.8	0.152	0.2699	0.6352
-130.7	338.0	0.09518	0.5001	0.6193
-132.1	338.7	0.1254	0.5232	0.8204
-126.5	320.3	0.09114	0.1775	0.7519
-127.6	320.9	0.1125	0.6952	0.58
-119.3	315.4	0.08699	0.2877	0.8754
-120.0	315.8	0.1276	0.7721	0.5648
208.2	290.1	0.1014	0.8111	0.3882
-80.67	290.1	0.1079	0.3529	0.7742
-100.7	279.0	0.09466	0.2701	0.888
-101.1	279.1	0.09011	0.8147	0.5667
-103.3	277.5	0.09953	0.4189	0.5656
-104.2	277.8	0.1265	0.2747	0.691
-115.2	267.3	0.1204	0.2206	0.7158
-115.6	267.1	0.09724	0.645	0.7538
-89.01	262.3	0.0916	0.2616	0.659
-88.7	262.4	0.1232	0.4879	0.8587
-96.92	253.5	0.1079	0.3278	0.7971
-96.78	253.2	0.1098	0.4434	0.5912
-106.4	239.1	0.09004	0.4248	0.8668
-106.7	239.2	0.1181	0.4678	0.5546
-99.9	234.3	0.119	0.834	0.6795
-99.71	233.8	0.1159	0.3933	0.8743
-95.6	225.3	0.09746	0.4881	0.7863
-95.38	225.3	0.1061	0.6083	0.5244
-81.33	222.0	0.08738	0.6074	0.6936
-80.61	221.9	0.1169	0.7978	0.4768
-81.8	209.3	0.08223	0.5785	0.5948
-82.6	209.6	0.1256	0.8572	0.7807
-78.05	205.5	0.08621	0.5739	0.4677
-79.95	205.9	0.1044	0.7194	0.5057
-83.78	193.4	0.1045	0.645	0.4433
-87.42	193.6	0.1009	0.6162	0.6894
-72.84	183.4	0.1269	0.09869	0.6648
-75.56	184.1	0.1347	0.5377	0.4927
-81.94	172.7	0.1425	0.3976	0.7167
-82.34	172.0	0.1595	0.2692	0.5685
-53.93	161.0	0.1525	0.3335	0.3433
-55.18	160.8	0.1482	0.7738	0.6915
-68.18	159.3	0.1571	0.3727	0.586
-68.71	159.5	0.1465	0.5602	0.672
-70.64	144.2	0.1734	0.4297	0.5128
-67.79	143.7	0.1497	0.5722	0.669
-50.27	138.0	0.1768	0.1712	0.4206
-46.66	138.1	0.1604	0.6214	0.5771
-56.69	116.3	0.2111	0.2652	0.527
-51.98	116.2	0.1451	0.3916	0.5974
-51.64	130.2	0.1775	0.5805	0.3195
-48.36	130.2	0.1895	0.4351	0.4213
-52.66	123.9	0.1872	0.3216	0.6141
-50.63	124.0	0.2041	0.4604	0.3459
64.6	187.6	0.1489	0.1535	0.5202
63.36	188.0	0.1604	0.1292	0.7759
-59.11	116.8	0.1756	0.8874	0.5242
-59.51	117.5	0.179	0.6226	0.2767

# Loss (initial) = 59075.001182190535
# Loss (final) = 1134.8269763114927
# Loss (resample) = 44448.606751763306
