# Loss = 675.4162460575013

# tsi	tv1m	tv2m	tvp	twm	twp	td	to	tr	xk	uc	uv	ucsi
84.255	47.039	1237.9	7.0794	48.153	869.8	0.16315	48.611	67.983	10.081	0.14133	0.033733	0.64337

# t0	TI	IA	v0	w0
-213.1	544.8	0.08426	0.2403	0.6955
-214.9	545.6	0.138	0.3999	0.9245
-98.04	488.3	0.08887	0.6802	0.7211
-98.69	488.8	0.1646	0.2855	0.7367
-150.0	439.7	0.09509	0.08486	0.8152
-150.7	440.5	0.2053	0.3044	0.8311
-147.3	358.3	0.07061	0.2133	0.8892
-148.1	358.1	0.1787	0.1686	0.7529
-130.2	338.2	0.08916	0.8448	0.857
-131.8	338.5	0.1183	0.2467	0.9251
-126.1	320.8	0.08979	0.05009	0.8804
-127.0	320.7	0.1315	0.02719	0.7464
-118.6	315.4	0.09411	0.6207	0.7591
-119.3	315.0	0.1044	0.8338	0.7167
209.2	289.6	0.08037	0.3453	0.3471
-79.69	289.4	0.08888	0.6922	0.7512
-99.67	278.6	0.08514	0.8669	0.7281
-100.2	278.8	0.09546	0.7386	0.8542
-102.6	277.0	0.08138	0.6971	0.7868
-103.4	277.2	0.09289	0.7042	0.8243
-115.2	266.9	0.08579	0.1542	0.9014
-114.9	266.8	0.09074	0.7299	0.8561
-90.23	262.0	0.0802	0.8423	0.7966
-88.9	262.1	0.09204	0.8133	0.9019
-96.03	253.0	0.08933	0.6852	0.7433
-96.39	253.2	0.08659	0.5524	0.8656
-105.6	238.6	0.06655	0.7263	0.8493
-107.3	238.9	0.08613	0.1586	0.9654
-100.0	233.8	0.07565	0.1222	0.9272
-99.77	233.4	0.06272	0.7487	0.7099
-94.98	225.2	0.07381	0.9111	0.7799
-95.12	225.2	0.08982	0.3566	0.7283
-81.4	222.0	0.07661	0.9148	0.7427
-81.38	222.0	0.09052	0.5518	0.7876
-82.93	209.8	0.08925	0.6184	0.7407
-84.94	208.9	0.1076	0.932	0.7557
-79.46	205.8	0.09961	0.668	0.74
-81.38	206.2	0.09701	0.8333	0.6911
-86.35	194.3	0.1122	0.6015	0.7805
-86.39	194.3	0.1114	0.7159	0.6629
-73.44	184.3	0.1204	0.716	0.7178
-75.65	184.2	0.1213	0.5537	0.8612
-82.24	172.6	0.1285	0.4848	0.7926
-83.95	172.6	0.1324	0.6845	0.7522
-55.08	161.2	0.1421	0.3742	0.5295
-54.18	161.1	0.1531	0.787	0.7132
-68.16	159.4	0.1394	0.7827	0.5867
-68.39	159.7	0.1472	0.7525	0.7681
-72.43	144.4	0.1612	0.3977	0.5897
-69.17	144.5	0.1662	0.6261	0.5276
-50.57	138.3	0.1663	0.2598	0.458
-47.41	138.2	0.1707	0.2887	0.3829
-55.03	116.4	0.2	0.292	0.5339
-54.78	116.5	0.1971	0.2605	0.4457
-49.5	130.4	0.1751	0.3175	0.1768
-48.9	130.2	0.1791	0.3732	0.3037
-53.21	124.0	0.1824	0.1988	0.3985
-49.59	123.9	0.1824	0.03755	0.5513
64.12	187.6	0.1394	0.4431	0.6509
64.59	187.3	0.1532	0.7575	0.7557
-63.0	118.6	0.1886	0.2508	0.2063
-61.2	118.3	0.1924	0.3448	0.4514

# Loss (initial) = 63511.83497140903
# Loss (final) = 675.4162460575013
# Loss (resample) = 46550.44288653049
