# Loss = 133.1019120149462

# tsi	tv1m	tv2m	tvp	twm	twp	td	to	tr	xk	uc	uv	ucsi
84.861	12.011	1194.4	5.691	80.174	876.43	0.17872	15.608	80.029	9.2776	0.14546	0.038447	0.80715

# t0	TI	IA	v0	w0
-212.0	546.1	0.06234	0.5035	0.7837
-213.6	545.3	0.08881	0.6271	0.7723
-96.53	486.3	0.09013	0.5007	0.3054
-98.06	488.1	0.08843	0.81	0.7086
-149.7	440.4	0.09215	0.4788	0.8258
-149.9	442.8	0.1161	0.4054	0.8565
-147.3	360.4	0.08123	0.4232	0.9172
-148.3	359.3	0.1318	0.2882	0.9091
-129.8	340.4	0.08225	0.4212	0.9218
-131.7	340.6	0.1565	0.222	0.9438
-126.1	320.7	0.09026	0.3664	0.919
-126.6	321.9	0.139	0.03671	0.9599
-118.6	315.5	0.08554	0.3228	0.9301
-119.3	317.0	0.1491	0.185	0.9633
208.9	290.9	0.05505	0.4815	0.3481
-79.8	290.4	0.1234	0.351	0.9612
-98.76	279.3	0.09642	0.5069	0.8922
-101.9	280.2	0.1046	0.4401	0.9678
-103.7	277.0	0.08869	0.4114	0.9017
-104.5	279.6	0.1293	0.09712	0.954
-115.2	268.8	0.1071	0.236	0.8057
-115.2	268.7	0.1255	0.09069	0.9395
-88.79	261.4	0.07851	0.5197	0.8645
-87.97	262.0	0.1187	0.1275	0.9441
-96.81	253.3	0.0502	0.52	0.8421
-96.28	253.1	0.09813	0.5816	0.941
-106.7	239.5	0.084	0.1805	0.8662
-106.2	239.4	0.1025	0.1869	0.8672
-99.21	234.5	0.07805	0.1472	0.871
-98.84	233.0	0.08939	0.8317	0.9275
-94.32	225.2	0.06471	0.4713	0.8313
-95.46	225.1	0.08386	0.4784	0.9308
-81.35	223.0	0.1129	0.5439	0.8257
-81.6	222.5	0.08272	0.7422	0.884
-81.84	209.8	0.08215	0.578	0.7706
-83.01	210.0	0.1269	0.6967	0.9022
-78.39	205.8	0.07052	0.7344	0.7356
-79.39	205.5	0.06989	0.5363	0.7886
-84.0	194.2	0.07773	0.3047	0.7983
-85.63	194.3	0.09177	0.5242	0.7701
-72.58	184.4	0.1147	0.9626	0.7057
-75.18	184.3	0.09184	0.7002	0.8833
-78.81	171.6	0.1044	0.1334	0.6867
-83.83	173.2	0.07892	0.8853	0.945
-53.64	160.2	0.05031	0.8008	0.5377
-54.44	161.4	0.08879	0.7129	0.79
-67.19	159.4	0.113	0.8408	0.6571
-68.95	158.7	0.0516	0.7962	0.7921
-74.31	145.3	0.0857	0.3627	0.6485
-70.22	144.1	0.09269	0.7203	0.6073
-50.14	138.3	0.1649	0.6802	0.4057
-47.28	137.7	0.1085	0.401	0.3718
-56.24	116.2	0.2341	0.5894	0.5177
-55.13	116.7	0.2377	0.3082	0.5521
-52.17	131.6	0.1715	0.4246	0.4375
-46.65	129.9	0.2088	0.5909	0.3323
-52.7	124.7	0.231	0.718	0.3703
-51.17	125.1	0.217	0.4125	0.3788
66.21	186.6	0.05439	0.5456	0.9202
65.83	192.9	0.06377	0.2016	0.9787
-58.77	117.7	0.2196	0.1676	0.206
-62.28	117.7	0.2262	0.2312	0.5477

# Loss (initial) = 8796.31516633246
# Loss (final) = 133.1019120149462
# Loss (resample) = 7005.5039768523975
