# Loss = 128.711948240241

# tsi	tv1m	tv2m	tvp	twm	twp	td	to	tr	xk	uc	uv	ucsi
93.827	11.28	1250.3	5.9645	43.186	866.79	0.35543	15.097	73.955	9.6272	0.14738	0.027379	0.65712

# t0	TI	IA	v0	w0
-213.1	544.6	0.05539	0.5012	0.7614
-215.1	546.1	0.07927	0.6572	0.7732
-97.12	487.0	0.05636	0.2819	0.5786
-99.09	488.1	0.08139	0.457	0.8631
-149.7	441.5	0.07473	0.4039	0.8364
-151.8	442.3	0.1036	0.4902	0.8917
-147.6	359.4	0.06382	0.4047	0.9364
-149.6	359.3	0.08638	0.1808	0.8918
-129.7	339.5	0.06778	0.3124	0.9375
-131.5	340.4	0.109	0.08193	0.9451
-126.3	321.1	0.06851	0.3838	0.9022
-127.6	322.3	0.119	0.2172	0.9209
-118.6	314.9	0.06627	0.3206	0.9488
-119.0	316.0	0.1309	0.1454	0.8881
208.8	290.1	0.0561	0.2149	0.6196
-80.07	290.9	0.1164	0.5055	0.9461
-100.9	278.5	0.05677	0.3231	0.9147
-101.3	280.5	0.1211	0.4081	0.9335
-103.8	277.3	0.04768	0.2882	0.8928
-104.0	279.2	0.09671	0.2566	0.9665
-116.2	267.6	0.08766	0.2799	0.8873
-116.0	267.5	0.0995	0.2541	0.9458
-88.78	261.8	0.0623	0.7997	0.8413
-88.73	262.9	0.1257	0.2143	0.8963
-97.5	253.6	0.06026	0.08966	0.8605
-97.71	254.3	0.08287	0.4727	0.9704
-106.6	239.7	0.1062	0.2927	0.8092
-107.4	239.6	0.1118	0.2036	0.8979
-100.6	233.8	0.05461	0.5242	0.9034
-98.77	233.4	0.09651	0.5089	0.8716
-96.32	225.3	0.06123	0.3733	0.894
-95.11	225.3	0.07869	0.5303	0.9005
-81.4	222.0	0.07678	0.5273	0.812
-81.58	221.8	0.07865	0.3994	0.8892
-82.92	209.0	0.05592	0.2575	0.8138
-82.98	209.9	0.1159	0.001009	0.8701
-78.99	204.6	0.05773	0.7186	0.7534
-80.27	205.9	0.07509	0.008787	0.7964
-85.06	194.1	0.121	0.2462	0.7814
-86.05	194.1	0.1047	0.3094	0.8092
-73.09	181.9	0.04929	0.7816	0.793
-76.71	182.9	0.05533	0.7116	0.8733
-79.75	171.3	0.1001	0.431	0.8174
-79.1	171.5	0.1057	0.2392	0.7887
-52.66	159.7	0.1054	0.415	0.5577
-56.06	160.9	0.1025	0.4933	0.6143
-68.33	159.2	0.1127	0.6393	0.7184
-68.37	159.9	0.1275	0.5602	0.7479
-72.32	144.9	0.175	0.8159	0.6336
-68.93	143.4	0.1902	0.7071	0.6201
-52.15	140.0	0.181	0.3514	0.4576
-45.69	137.3	0.1848	0.4242	0.341
-55.93	116.3	0.2227	0.4857	0.6189
-53.97	116.5	0.2297	0.4365	0.4916
-51.06	131.4	0.1948	0.3449	0.3543
-49.72	131.4	0.1954	0.3522	0.3248
-53.82	124.6	0.2184	0.5655	0.3199
-52.07	124.9	0.2105	0.3158	0.364
65.5	187.5	0.1177	0.598	0.9403
67.04	192.5	0.1209	0.04475	0.897
-62.0	118.2	0.2282	0.2048	0.1822
-61.06	117.3	0.2234	0.3941	0.5575

# Loss (initial) = 10005.758340727567
# Loss (final) = 128.711948240241
# Loss (resample) = 6217.344897882928
