# Loss = 106.46759723558132

# tsi	tv1m	tv2m	tvp	twm	twp	td	to	tr	xk	uc	uv	ucsi
74.488	8.9785	1239.8	6.1826	62.259	875.86	0.090255	52.096	67.303	9.4943	0.1433	0.022932	0.71788

# t0	TI	IA	v0	w0
-212.1	546.1	0.07235	0.619	0.8596
-212.9	544.6	0.08508	0.343	0.9476
-96.19	487.6	0.07203	0.3637	0.8147
-98.13	489.0	0.1359	0.3127	0.9412
-150.2	440.0	0.09513	0.7103	0.9347
-149.3	443.5	0.1608	0.2571	0.982
-146.1	358.9	0.08191	0.5749	0.9282
-148.7	361.4	0.117	0.5539	0.9887
-130.6	339.0	0.0941	0.6425	0.9245
-130.1	341.2	0.1731	0.3115	0.9527
-126.0	320.4	0.06832	0.09576	0.8629
-127.0	321.1	0.1474	0.5491	0.9882
-116.7	314.4	0.08542	0.6527	0.886
-118.4	315.0	0.1315	0.4705	0.9784
209.2	291.5	0.09099	0.4196	0.0769
-80.14	292.1	0.09651	0.3924	0.8999
-98.37	278.3	0.07815	0.6376	0.8172
-99.83	278.2	0.09078	0.6107	0.9249
-102.1	278.4	0.08302	0.4735	0.8165
-105.7	278.3	0.09378	0.6816	0.9246
-115.0	266.1	0.0669	0.09816	0.8922
-114.2	265.6	0.07801	0.6391	0.9216
-90.01	261.4	0.05993	0.6889	0.8135
-88.27	260.9	0.06963	0.6559	0.9057
-96.94	252.5	0.05303	0.6615	0.8268
-98.18	252.4	0.06474	0.7117	0.91
-107.1	237.4	0.03975	0.1825	0.8779
-107.2	238.3	0.06673	0.5901	0.9173
-99.45	232.6	0.0506	0.7018	0.8173
-98.87	232.6	0.07215	0.5255	0.8879
-95.01	224.6	0.05889	0.7549	0.7873
-94.4	224.1	0.08085	0.6368	0.8811
-81.53	221.8	0.06963	0.5892	0.7636
-83.37	222.7	0.08068	0.5839	0.8579
-80.85	208.4	0.08033	0.631	0.7339
-83.1	209.4	0.09628	0.4538	0.8818
-78.92	205.2	0.08516	0.743	0.7324
-78.8	205.4	0.09836	0.5087	0.7316
-82.31	192.7	0.09972	0.7525	0.7112
-86.76	194.6	0.1101	0.06812	0.8218
-69.69	182.4	0.1082	0.6034	0.6616
-72.64	182.8	0.1145	0.9342	0.798
-77.55	171.0	0.1211	0.06648	0.6615
-79.21	171.3	0.1275	0.354	0.8774
-55.84	162.1	0.1317	0.437	0.5845
-54.46	161.6	0.1413	0.5245	0.7567
-68.78	160.0	0.1346	0.3646	0.6945
-68.32	159.7	0.1426	0.5274	0.8212
-73.26	144.9	0.1569	0.1297	0.719
-73.39	145.7	0.1566	0.1618	0.6939
-47.44	137.8	0.1733	0.6446	0.2833
-46.8	137.9	0.1668	0.0839	0.5639
-59.47	117.6	0.2044	0.1308	0.6324
-56.64	117.5	0.2107	0.2578	0.621
-52.78	131.4	0.1751	0.1277	0.4818
-51.4	131.6	0.1744	0.1378	0.5235
-53.54	124.4	0.1941	0.09536	0.5514
-51.89	125.6	0.1735	0.04306	0.6256
66.14	187.0	0.1335	0.8382	0.9262
64.84	192.3	0.1404	0.9619	0.9441
-60.83	117.9	0.221	0.1712	0.3512
-63.88	118.6	0.206	0.1574	0.5689

# Loss (initial) = 10600.060050367792
# Loss (final) = 106.46759723558132
# Loss (resample) = 8852.860270262141
