# Loss = 120.56113857582847

# tsi	tv1m	tv2m	tvp	twm	twp	td	to	tr	xk	uc	uv	ucsi
95.16	11.36	1242.1	6.5482	59.781	876.6	0.091891	48.315	88.503	9.4557	0.1424	0.021256	0.81922

# t0	TI	IA	v0	w0
-212.0	544.8	0.06463	0.5481	0.824
-213.2	546.5	0.09825	0.4185	0.8454
-95.83	488.4	0.08101	0.3208	0.7181
-99.27	488.3	0.1512	0.2839	0.8626
-149.5	442.2	0.09819	0.5124	0.841
-150.1	443.2	0.1666	0.1805	0.9515
-147.3	361.4	0.09532	0.6593	0.9079
-149.1	361.5	0.1088	0.3631	0.9671
-129.9	341.1	0.09265	0.6257	0.8729
-131.3	341.5	0.1362	0.1819	0.9491
-124.4	321.1	0.08611	0.5817	0.8527
-126.9	322.8	0.1179	0.207	0.9484
-117.3	315.0	0.09577	0.5354	0.857
-119.4	317.0	0.1253	0.2149	0.9439
208.4	290.4	0.1159	0.2058	0.09801
-79.33	290.3	0.09533	0.518	0.8719
-99.12	278.3	0.06022	0.5098	0.7624
-101.2	279.8	0.07735	0.4652	0.922
-102.4	277.9	0.06952	0.6273	0.7107
-104.2	278.0	0.08005	0.4678	0.8905
-116.3	266.6	0.05721	0.1062	0.8873
-115.7	266.0	0.06235	0.3267	0.9354
-89.11	261.0	0.05359	0.6621	0.7064
-90.43	261.2	0.06777	0.6651	0.8932
-96.61	252.6	0.06081	0.8927	0.6653
-96.77	251.8	0.05631	0.5469	0.8585
-108.5	238.8	0.04604	0.5238	0.7787
-107.8	238.5	0.06897	0.1092	0.9009
-99.15	233.0	0.06247	0.6945	0.7426
-98.71	232.6	0.07859	0.5471	0.8399
-95.24	225.0	0.06552	0.5722	0.6914
-96.52	225.0	0.08541	0.6136	0.8641
-81.46	222.0	0.07467	0.5838	0.6558
-81.07	221.8	0.08524	0.5262	0.7665
-80.87	208.7	0.0888	0.5585	0.5815
-82.75	209.3	0.09608	0.8038	0.759
-79.0	205.7	0.09259	0.5946	0.6049
-80.12	205.8	0.1022	0.3842	0.6262
-85.9	194.4	0.09902	0.08302	0.7592
-87.05	194.4	0.1158	0.4509	0.7077
-72.21	183.8	0.1132	0.573	0.5034
-76.0	183.5	0.1189	0.7234	0.7767
-83.61	174.0	0.1232	0.7071	0.6584
-77.29	170.5	0.1274	0.556	0.8569
-55.56	161.9	0.1376	0.3611	0.3845
-53.99	161.2	0.1454	0.592	0.576
-68.78	160.2	0.1361	0.2652	0.5852
-68.2	159.7	0.1462	0.5711	0.7006
-72.49	145.0	0.1621	0.1923	0.5172
-73.21	145.1	0.1655	0.06812	0.6511
-50.97	139.0	0.1723	0.1337	0.3699
-47.33	138.1	0.1695	0.04857	0.3849
-55.83	116.6	0.208	0.1209	0.408
-53.18	116.6	0.2099	0.07341	0.1736
-53.05	132.2	0.1765	0.1099	0.1392
-51.23	131.6	0.1848	0.1305	0.2408
-51.99	125.0	0.1966	0.09074	0.1321
-50.87	125.3	0.19	0.1432	0.1672
65.41	186.9	0.135	0.5623	0.8402
66.48	192.3	0.134	0.8008	0.9429
-61.21	118.0	0.2216	0.06634	0.1166
-62.02	117.7	0.2076	0.08503	0.4265

# Loss (initial) = 9917.466334360228
# Loss (final) = 120.56113857582847
# Loss (resample) = 8661.212998248579
