# Loss = 322.69223719727336

# tsi	tv1m	tv2m	tvp	twm	twp	td	to	tr	xk	uc	uv	ucsi
92.41	47.296	1249.6	5.4469	54.166	874.75	0.34256	6.4794	68.664	9.9088	0.13649	0.040995	0.56898

# t0	TI	IA	v0	w0
-212.9	544.6	0.05694	0.5258	0.8364
-214.0	545.7	0.08065	0.6182	0.867
-96.91	488.1	0.07599	0.7557	0.5869
-98.82	489.7	0.0925	0.6676	0.8785
-149.3	439.0	0.07646	0.2477	0.8646
-150.5	439.6	0.1099	0.1497	0.8298
-147.3	358.1	0.09342	0.375	0.8715
-148.2	358.6	0.1287	0.4595	0.9294
-129.0	338.6	0.09743	0.479	0.8635
-130.5	339.0	0.1582	0.4089	0.8716
-125.0	320.1	0.099	0.1906	0.8408
-126.4	321.4	0.1654	0.2803	0.8374
-118.1	314.7	0.07132	0.4581	0.9467
-117.8	314.6	0.1645	0.4254	0.885
209.2	290.3	0.05248	0.2131	0.8359
-78.75	289.5	0.1441	0.3729	0.8422
-100.2	278.9	0.07922	0.7172	0.9259
-99.89	279.0	0.1588	0.2821	0.9007
-103.0	276.8	0.0642	0.5242	0.9303
-103.4	277.9	0.1568	0.6926	0.8513
-116.4	267.0	0.07437	0.3549	0.9426
-115.7	267.7	0.1396	0.5204	0.9695
-87.79	261.4	0.06801	0.7746	0.8908
-88.99	262.0	0.1163	0.8258	0.9416
-97.27	252.8	0.07309	0.2462	0.915
-96.7	252.3	0.09484	0.631	0.9227
-105.2	238.8	0.07737	0.798	0.9263
-105.8	238.7	0.1376	0.1256	0.8332
-99.06	233.5	0.07962	0.2801	0.932
-98.89	233.6	0.09997	0.8389	0.9525
-94.63	224.9	0.07107	0.5366	0.8589
-94.06	224.4	0.09662	0.8506	0.8678
-82.37	222.3	0.08055	0.8455	0.8659
-80.36	221.9	0.08228	0.5817	0.9439
-83.5	209.3	0.0706	0.5058	0.8521
-82.99	209.5	0.0969	0.6698	0.8428
-79.31	205.3	0.07042	0.7107	0.8035
-80.86	205.9	0.08405	0.5603	0.8501
-85.29	194.4	0.07668	0.7723	0.8284
-87.18	194.6	0.0952	0.705	0.8288
-73.38	183.5	0.06137	0.94	0.7815
-74.76	183.7	0.09563	0.7838	0.832
-79.86	171.8	0.08301	0.3293	0.7964
-80.1	171.9	0.08467	0.379	0.9111
-54.8	160.5	0.05523	0.6102	0.6765
-56.68	161.0	0.07243	0.932	0.8333
-68.79	158.8	0.06504	0.7029	0.7628
-70.13	159.2	0.05905	0.6377	0.8827
-71.29	144.2	0.07472	0.9098	0.7205
-72.4	144.5	0.08984	0.5015	0.658
-48.95	137.7	0.1307	0.6554	0.6929
-49.06	137.9	0.09053	0.452	0.5942
-52.14	116.2	0.2223	0.8319	0.6642
-52.51	116.3	0.2291	0.6461	0.5913
-49.79	129.6	0.1384	0.6717	0.5455
-47.66	129.1	0.163	0.6678	0.4586
-53.01	124.4	0.1942	0.705	0.6078
-51.87	124.1	0.2125	0.5915	0.5352
65.75	186.4	0.05498	0.4656	0.831
66.38	186.2	0.05628	0.4668	0.9691
-59.98	117.8	0.2133	0.3063	0.4045
-62.24	118.1	0.2147	0.572	0.4952

# Loss (initial) = 23938.360078021462
# Loss (final) = 322.69223719727336
# Loss (resample) = 15810.095761814633
