# Loss = 303.86976219990606

# tsi	tv1m	tv2m	tvp	twm	twp	td	to	tr	xk	uc	uv	ucsi
266.82	54.111	1252.0	12.914	12.066	854.97	0.38977	16.738	90.929	10.92	0.14691	0.04411	0.578

# t0	TI	IA	v0	w0
-212.5	546.6	0.06068	0.9784	0.8174
-213.4	547.6	0.06318	0.9933	0.9151
-96.27	488.8	0.05352	0.965	0.9736
-98.52	490.8	0.07712	0.9688	0.2255
-149.0	439.9	0.05858	0.9955	0.705
-149.5	439.4	0.08428	0.9386	0.8203
-147.1	358.6	0.05805	0.938	0.9879
-149.1	358.2	0.05538	0.9237	0.9733
-130.4	338.5	0.04957	0.9872	0.7327
-131.2	338.5	0.06419	0.9045	0.9857
-125.8	320.4	0.06851	0.9795	0.9709
-126.1	320.0	0.0743	0.9043	0.9892
-117.8	313.9	0.0554	0.9637	0.9631
-119.6	314.2	0.05392	0.9876	0.8819
209.0	290.3	0.06636	0.7955	0.1638
-80.18	289.2	0.05346	0.9549	0.9686
-100.2	278.8	0.06924	0.7628	0.7777
-102.4	279.0	0.05306	0.9793	0.9794
-104.3	277.1	0.0448	0.5661	0.5244
-104.7	277.6	0.07196	0.9444	0.9918
-117.3	266.9	0.04562	0.7303	0.956
-116.3	267.1	0.06625	0.9788	0.8148
-90.52	261.6	0.05663	0.3862	0.6314
-90.93	262.3	0.07066	0.9896	0.6836
-97.23	252.7	0.05892	0.4316	0.417
-97.14	253.2	0.08182	0.974	0.9777
-108.4	238.0	0.03538	0.6141	0.5485
-109.1	238.0	0.03406	0.9671	0.8147
-100.8	233.9	0.05393	0.5281	0.5867
-101.3	233.6	0.04966	0.878	0.8507
-96.44	225.0	0.05349	0.2914	0.6387
-97.86	225.4	0.05146	0.8279	0.9687
-84.08	221.8	0.04264	0.4416	0.2717
-83.78	221.9	0.05066	0.629	0.6344
-84.86	209.0	0.04228	0.3107	0.1439
-85.56	209.7	0.05465	0.8595	0.8291
-82.17	205.1	0.03786	0.2247	0.07536
-82.24	205.2	0.05046	0.2254	0.2478
-88.91	194.0	0.04268	0.411	0.4846
-88.38	194.1	0.05261	0.4054	0.3331
-77.1	183.9	0.04374	0.3298	0.2144
-78.62	184.3	0.05628	0.6991	0.833
-84.07	171.8	0.0465	0.5895	0.5654
-81.51	172.0	0.076	0.754	0.8668
-56.63	162.0	0.1345	0.009649	0.2215
-55.91	161.6	0.16	0.231	0.1427
-67.47	159.4	0.1474	0.3657	0.3564
-69.51	159.7	0.1361	0.3025	0.3041
-69.91	144.4	0.2053	0.4221	0.3142
-69.04	144.3	0.1958	0.326	0.2113
-50.3	138.7	0.21	0.06745	0.124
-47.96	138.3	0.2129	0.04722	0.1212
-53.36	116.4	0.1773	0.7149	0.6765
-53.32	116.4	0.2282	0.1178	0.4827
-51.4	131.2	0.2049	0.4815	0.8252
-51.34	131.2	0.2131	0.09567	0.00462
-51.37	124.0	0.2191	0.1107	0.06169
-50.09	124.3	0.2065	0.2898	0.543
65.24	186.4	0.06099	0.565	0.1871
66.06	186.7	0.05823	0.9861	0.1268
-63.64	118.5	0.2281	0.1298	0.4894
-63.01	118.2	0.2267	0.2046	0.3934

# Loss (initial) = 27443.91594687487
# Loss (final) = 303.86976219990606
# Loss (resample) = 17005.893694604547
