# Loss = 190.60256064518916

# tsi	tv1m	tv2m	tvp	twm	twp	td	to	tr	xk	uc	uv	ucsi
149.67	27.011	1269.4	14.683	68.711	846.1	0.22142	17.398	83.638	10.775	0.14982	0.011569	0.66033

# t0	TI	IA	v0	w0
-211.1	546.6	0.08301	0.9698	0.9964
-212.5	548.7	0.07875	0.9626	0.9905
-95.95	486.8	0.06437	0.7924	0.8756
-97.46	490.5	0.09631	0.973	0.9919
-149.1	440.5	0.07321	0.9015	0.8753
-148.6	438.8	0.07045	0.9426	0.992
-146.8	356.7	0.05552	0.5978	0.6937
-149.7	358.4	0.07679	0.9665	0.9943
-130.8	336.9	0.0568	0.6091	0.5947
-132.0	338.4	0.07877	0.9042	0.99
-127.7	320.3	0.04694	0.6768	0.4396
-126.2	319.8	0.06515	0.7065	0.9002
-118.4	313.5	0.05253	0.619	0.3819
-119.6	314.3	0.06328	0.6415	0.928
208.2	289.3	0.05117	0.4954	0.08858
-81.71	289.6	0.05717	0.7266	0.4789
-101.5	277.9	0.04379	0.6667	0.1661
-101.5	278.3	0.05443	0.4428	0.7887
-105.7	276.4	0.0356	0.6167	0.1236
-105.8	277.0	0.04825	0.3839	0.7732
-117.9	265.2	0.02837	0.6464	0.3112
-118.2	266.7	0.04603	0.5762	0.708
-90.98	260.5	0.03368	0.5031	0.06228
-92.48	261.6	0.0417	0.3891	0.8303
-98.62	251.6	0.03447	0.5073	0.07983
-101.0	252.7	0.041	0.3327	0.8256
-110.2	237.3	0.02968	0.4294	0.4066
-109.7	238.2	0.04347	0.33	0.8355
-103.2	232.6	0.03331	0.4933	0.2584
-103.5	233.4	0.04595	0.3015	0.786
-99.71	224.4	0.03577	0.3278	0.4643
-99.56	225.2	0.04985	0.2705	0.8156
-85.15	221.5	0.03839	0.2733	0.3889
-85.1	222.0	0.049	0.2418	0.6785
-87.64	209.5	0.04593	0.1914	0.5875
-87.14	209.9	0.06341	0.2105	0.7768
-83.47	205.7	0.05401	0.1844	0.5351
-83.32	205.9	0.06676	0.082	0.6381
-87.33	193.9	0.07489	0.1981	0.4269
-88.81	194.4	0.09495	0.1083	0.6753
-75.39	184.4	0.1086	0.1548	0.3692
-77.23	184.3	0.1234	0.193	0.7014
-81.01	172.3	0.128	0.1328	0.5923
-82.07	172.7	0.1425	0.141	0.9065
-55.31	161.5	0.1459	0.05234	0.4668
-55.2	161.3	0.1547	0.03123	0.7742
-68.55	159.5	0.1594	0.07831	0.5931
-68.5	159.4	0.1592	0.1191	0.7996
-73.69	145.0	0.1796	0.05988	0.6635
-72.38	145.0	0.1865	0.04954	0.6817
-49.84	138.4	0.1907	0.03375	0.4619
-47.98	138.2	0.1882	0.0367	0.4068
-54.84	116.2	0.2119	0.212	0.5711
-53.6	116.4	0.2197	0.02737	0.3573
-51.9	131.1	0.1897	0.01835	0.56
-49.98	130.9	0.2005	0.02359	0.4106
-51.37	124.1	0.2057	0.01808	0.4874
-50.55	124.3	0.1944	0.02575	0.5614
66.44	187.2	0.1622	0.7855	0.9871
68.99	186.4	0.1879	0.8834	0.9941
-63.69	118.6	0.217	0.01788	0.717
-65.38	118.6	0.2178	0.04218	0.6334

# Loss (initial) = 31647.76530255917
# Loss (final) = 190.60256064518916
# Loss (resample) = 18885.122879852497
