# Loss = 195.1502877243409

# tsi	tv1m	tv2m	tvp	twm	twp	td	to	tr	xk	uc	uv	ucsi
50.143	27.571	1254.9	9.7306	174.02	847.41	0.44275	9.8605	47.679	9.2158	0.1447	0.039783	0.55445

# t0	TI	IA	v0	w0
-213.4	543.6	0.05745	0.3276	0.9267
-214.1	545.6	0.09182	0.2621	0.9619
-98.75	486.5	0.04643	0.7506	0.8687
-98.25	488.4	0.08242	0.1735	0.9615
-151.5	438.5	0.04371	0.5637	0.917
-148.8	438.9	0.09298	0.4648	0.9493
-147.5	356.4	0.04883	0.8427	0.8813
-149.8	357.8	0.05832	0.6359	0.9363
-130.4	336.8	0.05145	0.7714	0.8696
-131.6	338.3	0.06717	0.7883	0.9285
-126.4	319.5	0.05129	0.8027	0.8551
-126.8	320.0	0.07445	0.7606	0.9247
-117.3	313.4	0.0634	0.7664	0.8486
-118.3	313.6	0.06741	0.7137	0.9066
208.8	290.1	0.06441	0.5821	0.08819
-80.98	289.6	0.06491	0.4984	0.8689
-100.1	278.0	0.05748	0.8282	0.8177
-100.6	278.5	0.07748	0.7687	0.8788
-102.9	276.3	0.05479	0.8773	0.8059
-104.6	277.2	0.06557	0.6719	0.8802
-115.0	266.3	0.06369	0.8936	0.8322
-114.9	266.6	0.07836	0.8336	0.8817
-89.43	261.0	0.04957	0.9158	0.7876
-91.23	261.9	0.05798	0.7465	0.8765
-96.43	252.3	0.05863	0.8288	0.7815
-96.63	252.6	0.07018	0.8718	0.8592
-105.8	238.0	0.0551	0.9743	0.795
-107.2	238.5	0.07002	0.8437	0.8723
-99.57	233.1	0.05469	0.8448	0.7916
-99.75	233.3	0.06778	0.7929	0.8447
-95.13	224.8	0.06101	0.8639	0.7684
-96.26	225.1	0.06221	0.8195	0.8489
-83.15	221.9	0.04831	0.869	0.7687
-83.4	222.3	0.06686	0.8169	0.8264
-82.55	208.9	0.05624	0.9707	0.7389
-84.57	209.6	0.06398	0.7043	0.8368
-80.39	205.2	0.04665	0.8961	0.7245
-80.07	205.4	0.06625	0.6686	0.7636
-86.43	193.9	0.05318	0.8874	0.7388
-87.09	194.1	0.06256	0.399	0.797
-74.81	184.2	0.0609	0.887	0.7288
-77.43	184.3	0.06599	0.9601	0.8198
-82.52	172.0	0.0495	0.9298	0.7571
-82.79	172.3	0.05898	0.8878	0.848
-56.92	160.5	0.04368	0.9756	0.642
-57.54	161.1	0.05163	0.6639	0.8063
-70.14	158.8	0.04809	0.9457	0.6861
-69.86	159.1	0.05834	0.9851	0.8022
-73.94	144.1	0.05521	0.6787	0.6611
-70.24	143.7	0.063	0.2266	0.7482
-54.28	138.3	0.05829	0.2485	0.6844
-50.04	137.8	0.0621	0.2321	0.641
-58.2	116.5	0.1248	0.481	0.4867
-51.58	116.0	0.171	0.6291	0.4631
-53.42	130.5	0.06367	0.4778	0.5445
-53.19	130.8	0.069	0.4268	0.6045
-52.29	123.5	0.0793	0.6441	0.4261
-51.03	123.9	0.0931	0.6164	0.5141
65.16	187.2	0.07891	0.268	0.8607
66.66	186.8	0.07055	0.7785	0.8443
-58.07	117.1	0.1182	0.4924	0.3879
-66.01	118.5	0.1452	0.54	0.442

# Loss (initial) = 28019.80029993517
# Loss (final) = 195.1502877243409
# Loss (resample) = 14034.8970498799
