# Loss = 213.8639891221168

# tsi	tv1m	tv2m	tvp	twm	twp	td	to	tr	xk	uc	uv	ucsi
92.643	145.72	1264.9	11.263	6.5197	852.29	0.38423	394.67	72.591	9.8864	0.11114	0.013203	0.64943

# t0	TI	IA	v0	w0
-210.7	542.3	0.04353	0.7231	0.6382
-212.8	545.3	0.065	0.9912	0.5093
-94.07	485.4	0.06171	0.6346	0.9865
-96.3	487.4	0.0701	0.9095	0.9642
-149.3	438.2	0.05059	0.7211	0.9699
-149.7	438.7	0.0687	0.8933	0.03237
-149.9	358.5	0.0634	0.1354	0.6632
-147.8	357.3	0.0823	0.8774	0.6987
-130.6	337.5	0.06892	0.2044	0.2455
-131.7	338.3	0.08483	0.8215	0.4856
-127.4	320.3	0.07315	0.2578	0.2358
-127.2	320.1	0.08926	0.7823	0.5145
-120.8	314.6	0.07358	0.09311	0.07898
-119.9	314.4	0.08603	0.6656	0.3901
208.2	290.2	0.08142	0.04174	0.05181
-80.45	289.3	0.08976	0.212	0.9965
-102.1	279.2	0.08325	0.05449	0.2214
-101.5	278.4	0.09668	0.2635	0.2709
-104.7	277.5	0.08142	0.01375	0.2271
-105.4	277.5	0.09488	0.1329	0.2854
-115.3	266.6	0.08646	0.1693	0.4823
-116.1	266.7	0.09952	0.5285	0.5453
-89.59	261.7	0.09085	0.01658	0.3764
-90.96	262.0	0.1023	0.1546	0.526
-97.11	252.7	0.09276	0.06362	0.004105
-98.34	253.0	0.1011	0.1056	0.2928
-107.0	238.8	0.1	0.2163	0.5939
-107.5	238.7	0.1076	0.5442	0.7352
-99.61	233.6	0.09881	0.1717	0.2277
-100.4	233.7	0.1067	0.5859	0.2447
-97.08	225.7	0.1059	0.4002	0.03781
-97.41	225.7	0.1127	0.24	0.6136
-81.37	222.1	0.1039	0.04617	0.2535
-83.86	222.6	0.1117	0.1099	0.3367
-83.99	209.5	0.111	0.0644	0.2054
-85.03	209.7	0.1229	0.1189	0.3755
-79.94	205.6	0.1149	0.05242	0.1976
-82.5	206.1	0.1214	0.04452	0.2193
-87.39	194.7	0.1196	0.2006	0.4711
-88.05	194.6	0.1293	0.09502	0.6367
-75.14	184.6	0.1294	0.2182	0.07178
-76.26	184.1	0.1347	0.1988	0.4527
-77.91	171.4	0.1354	0.4103	0.7262
-81.39	172.2	0.1413	0.8917	0.7742
-56.67	161.5	0.1432	0.03458	0.09093
-55.78	161.6	0.149	0.1169	0.03049
-69.42	159.4	0.1493	0.1406	0.3393
-70.42	159.7	0.1496	0.127	0.7289
-73.38	144.9	0.1616	0.449	0.3844
-66.95	143.5	0.1656	0.3789	0.3866
-52.31	138.7	0.1724	0.2904	0.6561
-46.63	137.9	0.1705	0.2595	0.467
-57.17	116.4	0.1957	0.3007	0.2665
-49.76	115.6	0.1962	0.2337	0.2341
-49.09	130.4	0.1724	0.2608	0.4725
-50.16	130.8	0.1746	0.1675	0.5135
-53.07	124.5	0.1824	0.4017	0.6706
-47.87	123.7	0.1808	0.1926	0.2803
66.11	186.9	0.14	0.7493	0.9952
65.77	187.1	0.1496	0.8348	0.1205
-55.73	117.1	0.1981	0.1434	0.1829
-64.2	118.1	0.197	0.4762	0.6461

# Loss (initial) = 27802.37659747279
# Loss (final) = 213.8639891221168
# Loss (resample) = 15672.792935373453
