# Loss = 336.91473098294

# tsi	tv1m	tv2m	tvp	twm	twp	td	to	tr	xk	uc	uv	ucsi
68.405	23.455	1163.8	5.5479	69.076	883.17	0.33351	6.9247	58.712	9.6624	0.12523	0.045643	0.63689

# t0	TI	IA	v0	w0
-212.9	545.2	0.05901	0.311	0.7399
-215.5	546.2	0.07642	0.2506	0.8586
-96.74	488.5	0.06307	0.6797	0.6842
-99.16	490.0	0.08148	0.2025	0.8395
-149.3	440.9	0.06966	0.06454	0.8811
-150.5	441.6	0.1051	0.04555	0.7924
-146.5	359.3	0.09279	0.1571	0.823
-149.2	359.6	0.1214	0.1924	0.9249
-129.5	337.7	0.0933	0.1333	0.8109
-130.7	339.3	0.1735	0.03272	0.828
-124.1	320.4	0.1095	0.0718	0.7865
-125.6	320.8	0.1784	0.1951	0.7948
-116.3	313.7	0.07269	0.1096	0.8524
-119.2	315.7	0.1448	0.109	0.9484
207.5	291.6	0.0614	0.4774	0.1371
-78.95	290.0	0.1499	0.3384	0.8733
-100.0	278.7	0.07792	0.1465	0.9418
-99.92	279.1	0.1702	0.01738	0.9065
-101.6	276.1	0.05551	0.4134	0.8056
-102.4	277.6	0.1634	0.3617	0.8724
-116.1	267.1	0.0926	0.238	0.8844
-113.2	266.6	0.1569	0.7197	0.798
-88.63	262.2	0.09161	0.7428	0.9178
-87.65	262.1	0.1564	0.1411	0.8651
-98.07	252.9	0.06132	0.3556	0.9286
-96.12	253.2	0.1249	0.8723	0.8425
-105.2	239.2	0.1228	0.1387	0.8377
-105.3	237.8	0.05043	0.8408	0.77
-98.74	233.2	0.06689	0.2223	0.9329
-97.93	232.6	0.06703	0.9328	0.8556
-94.42	225.3	0.07663	0.8363	0.7942
-95.26	225.7	0.09868	0.4179	0.9608
-81.56	221.7	0.05732	0.4812	0.8591
-80.18	222.2	0.08256	0.689	0.7932
-80.58	208.7	0.07676	0.8781	0.7952
-81.35	209.2	0.07854	0.6929	0.7783
-77.1	204.6	0.06581	0.8835	0.7861
-78.97	205.8	0.1074	0.55	0.8761
-83.8	193.7	0.08728	0.7306	0.8225
-84.87	194.0	0.1195	0.08804	0.8523
-73.14	184.0	0.08089	0.5372	0.8377
-73.65	183.6	0.07794	0.9113	0.7583
-79.35	172.0	0.0868	0.6377	0.8502
-78.49	172.0	0.1308	0.1978	0.7227
-54.14	160.9	0.06879	0.6622	0.7318
-53.67	160.8	0.06993	0.8898	0.8458
-67.0	158.7	0.05847	0.7651	0.7895
-67.86	159.0	0.0641	0.8659	0.8995
-70.41	143.9	0.08547	0.7866	0.7715
-69.85	143.8	0.05954	0.9638	0.7627
-51.02	138.0	0.0564	0.8992	0.6751
-46.89	137.7	0.07412	0.5443	0.6248
-56.29	116.3	0.1183	0.7877	0.3464
-55.51	115.2	0.1584	0.6025	0.6102
-51.86	130.3	0.05542	0.8606	0.5315
-50.56	130.7	0.08165	0.7784	0.6511
-52.36	124.4	0.09222	0.4173	0.675
-50.24	123.7	0.08275	0.691	0.5358
65.88	187.0	0.08708	0.4362	0.899
66.76	186.5	0.07222	0.09589	0.8058
-62.05	117.8	0.1191	0.4141	0.5428
-60.56	117.5	0.128	0.8108	0.5579

# Loss (initial) = 29506.698493003074
# Loss (final) = 336.91473098294
# Loss (resample) = 16277.391473067986
