# Loss = 269.52772687116965

# tsi	tv1m	tv2m	tvp	twm	twp	td	to	tr	xk	uc	uv	ucsi
109.09	9.0946	1256.5	5.9686	14.059	868.18	0.11833	34.923	83.153	10.426	0.13987	0.024879	0.72211

# t0	TI	IA	v0	w0
-212.6	546.8	0.07279	0.7856	0.545
-213.5	547.6	0.1048	0.5552	0.7588
-96.12	489.8	0.09668	0.2316	0.5086
-97.94	491.2	0.1364	0.1382	0.7156
-148.8	440.7	0.09503	0.4455	0.8932
-150.2	441.8	0.1866	0.1579	0.8352
-146.1	358.8	0.106	0.2468	0.9175
-148.6	360.4	0.185	0.4337	0.8915
-129.4	339.6	0.08706	0.4491	0.8495
-130.4	340.2	0.2051	0.1003	0.882
-124.6	320.1	0.08459	0.4381	0.7573
-125.6	321.5	0.159	0.1484	0.8825
-118.3	314.7	0.06988	0.5032	0.9725
-118.6	315.4	0.1488	0.04347	0.9444
209.1	291.5	0.0625	0.2216	0.6399
-80.31	290.5	0.07544	0.3559	0.7827
-98.76	279.2	0.08355	0.471	0.5979
-100.8	280.5	0.1032	0.4381	0.9078
-103.2	277.5	0.07067	0.4329	0.564
-103.5	278.4	0.1076	0.9065	0.8842
-114.8	267.6	0.08052	0.09674	0.7749
-116.2	267.3	0.09197	0.3776	0.9696
-89.31	262.1	0.08915	0.3061	0.4866
-87.95	262.4	0.1108	0.7528	0.871
-96.63	254.2	0.09599	0.4289	0.5433
-96.75	253.0	0.06865	0.8078	0.8781
-105.1	238.3	0.09204	0.3973	0.8387
-107.5	239.3	0.09505	0.09624	0.9038
-99.12	233.6	0.07367	0.7471	0.7177
-98.81	233.4	0.08298	0.9109	0.8531
-96.23	225.0	0.04879	0.7844	0.6814
-95.22	224.9	0.07278	0.6923	0.8968
-82.07	221.8	0.05235	0.4878	0.4534
-82.74	222.2	0.07059	0.7482	0.735
-83.15	209.1	0.07874	0.5075	0.5112
-83.86	209.3	0.09296	0.5499	0.7509
-80.25	204.9	0.08706	0.4067	0.5535
-80.47	205.7	0.09457	0.389	0.4816
-85.71	193.5	0.1146	0.6472	0.6438
-86.51	194.3	0.1144	0.3922	0.6888
-71.91	183.7	0.116	0.5234	0.3462
-74.06	183.5	0.1182	0.7995	0.702
-81.11	172.5	0.126	0.816	0.7957
-80.58	172.4	0.1221	0.6839	0.8057
-56.46	161.7	0.1377	0.1921	0.3548
-53.71	160.7	0.142	0.2474	0.2761
-68.48	159.0	0.1405	0.5268	0.4839
-71.27	160.0	0.1452	0.3794	0.8325
-70.17	143.3	0.1603	0.5619	0.5155
-72.51	144.7	0.1593	0.461	0.4194
-51.77	138.7	0.1663	0.07169	0.318
-48.75	138.4	0.1698	0.2857	0.2032
-55.51	116.1	0.1884	0.2698	0.4073
-54.72	116.5	0.1949	0.3005	0.2274
-50.29	130.8	0.169	0.05718	0.1501
-51.44	131.1	0.1735	0.08727	0.1584
-55.12	124.7	0.1819	0.1145	0.2438
-51.21	124.7	0.1787	0.182	0.1253
64.4	187.4	0.1314	0.7439	0.6629
64.45	187.5	0.1406	0.9423	0.3531
-59.85	117.9	0.1954	0.1763	0.141
-63.07	118.1	0.1962	0.2639	0.2632

# Loss (initial) = 28923.7945335844
# Loss (final) = 269.52772687116965
# Loss (resample) = 19826.541556564196
